Index,Time,DataIn,Alert,Score,PValue,SpikeMG,ChangePointMG
153,01/14/2024 07:39:00,5961,False,5961,0.3845354786114006,0,0
154,01/14/2024 07:42:00,6608,False,6608,0.20831827987826618,0,0
155,01/14/2024 07:45:00,6320,False,6320,0.37707856371493315,0,0
156,01/14/2024 07:48:00,5619,False,5619,0.18825435894073683,0,0
157,01/14/2024 07:51:00,6017,False,6017,0.4212754194539413,0,0
158,01/14/2024 07:54:00,6132,False,6132,0.4994189258511089,0,0
159,01/14/2024 07:57:00,6299,False,6299,0.38785360970002775,0,0
160,01/14/2024 08:00:00,6587,False,6587,0.21742504526196665,0,0
161,01/14/2024 08:03:00,5771,False,5771,0.2648247860449078,0,0
162,01/14/2024 08:06:00,5679,False,5679,0.21693334750933913,0,0
163,01/14/2024 08:09:00,6262,False,6262,0.41148037489680256,0,0
164,01/14/2024 08:12:00,6701,False,6701,0.16306346531731825,0,0
165,01/14/2024 08:15:00,5294,False,5294,0.0735495708526539,0,0
166,01/14/2024 08:18:00,6456,False,6456,0.29066465424518007,0,0
167,01/14/2024 08:21:00,6739,False,6739,0.15028585020647944,0,0
168,01/14/2024 08:24:00,5522,False,5522,0.1489357227502639,0,0
169,01/14/2024 08:27:00,6533,False,6533,0.25008495888998505,0,0
170,01/14/2024 08:30:00,5316,False,5316,0.08316938477670888,0,0
171,01/14/2024 08:33:00,6587,False,6587,0.222664539974543,0,0
172,01/14/2024 08:36:00,6340,False,6340,0.3667992138289377,0,0
173,01/14/2024 08:39:00,6132,False,6132,0.4960433019322261,0,0
174,01/14/2024 08:42:00,6546,False,6546,0.24508849265480193,0,0
175,01/14/2024 08:45:00,5391,False,5391,0.10549387868287496,0,0
176,01/14/2024 08:48:00,6531,False,6531,0.2538938224091886,0,0
177,01/14/2024 08:51:00,5922,False,5922,0.35937427625291374,0,0
178,01/14/2024 08:54:00,6075,False,6075,0.45832002661595606,0,0
179,01/14/2024 08:57:00,6185,False,6185,0.4682635372388613,0,0
180,01/14/2024 09:00:00,5903,False,5903,0.3473472524586526,0,0
181,01/14/2024 09:03:00,6765,False,6765,0.1414133280307575,0,0
182,01/14/2024 09:06:00,5750,False,5750,0.25804562239197293,0,0
183,01/14/2024 09:09:00,6133,False,6133,0.49735275615316876,0,0
184,01/14/2024 09:12:00,5732,False,5732,0.24897544627273804,0,0
185,01/14/2024 09:15:00,6189,False,6189,0.4633532430468456,0,0
186,01/14/2024 09:18:00,6376,False,6376,0.3415010727194504,0,0
187,01/14/2024 09:21:00,6396,False,6396,0.3297771522864702,0,0
188,01/14/2024 09:24:00,5679,False,5679,0.21977472244658747,0,0
