Time,In,Out,UtilIn,UtilOut,Error,Discards,SpikeMG,ChangePointMG
14/Jan/2024 09:24:00,5679,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:27:00,6414,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:30:00,5847,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:33:00,6683,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:36:00,5922,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:39:00,5733,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:42:00,7191,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:45:00,5869,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:48:00,6436,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:51:00,5277,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:54:00,6133,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 09:57:00,6376,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:00:00,6094,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:03:00,6320,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:06:00,5847,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:09:00,6021,3577,0.10%,0.00%,0.00%,0.00%,1.00,0.00
14/Jan/2024 10:12:00,6148,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:15:00,6090,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:18:00,5903,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:21:00,6001,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:24:00,6641,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:27:00,6512,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:30:00,5961,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:33:00,5907,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:36:00,6034,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:39:00,6546,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:42:00,5505,3633,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:45:00,6608,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:48:00,6262,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:51:00,6019,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:54:00,6533,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 10:57:00,4952,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:00:00,6625,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:03:00,7024,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:06:00,5830,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:09:00,6645,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:12:00,5391,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:15:00,6034,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:18:00,6492,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:21:00,5903,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:24:00,6227,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:27:00,5884,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:30:00,6395,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:33:00,6057,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:36:00,5847,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:39:00,5735,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:42:00,5715,3633,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:45:00,6733,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:48:00,6226,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:51:00,6271,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:54:00,5657,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 11:57:00,5961,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:00:00,6221,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:03:00,6171,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:06:00,5505,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:09:00,6568,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:12:00,6490,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:15:00,5980,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:18:00,5543,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:21:00,6245,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:24:00,6247,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:27:00,5922,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:30:00,6471,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:33:00,6097,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:36:00,6287,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:39:00,6075,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:42:00,6318,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:45:00,5578,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:48:00,5963,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:51:00,6606,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:54:00,6303,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 12:57:00,6107,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:00:00,5793,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:03:00,6267,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:06:00,6359,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:09:00,6171,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:12:00,6090,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:15:00,5791,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:18:00,5961,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:21:00,6133,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:24:00,5961,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:27:00,6259,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:30:00,6075,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:33:00,6400,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:36:00,6303,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:39:00,5993,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:42:00,6017,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:45:00,5793,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:48:00,6397,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:51:00,5619,3577,0.00%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:54:00,6740,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 13:57:00,5789,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 14:00:00,6475,3577,0.10%,0.00%,0.00%,0.00%,0.00,0.00
14/Jan/2024 14:03:00,6131,3633,0.10%,0.00%,0.00%,0.00%,0.00,0.00
